"--Please Select--","--Votre choix--"
"Site Number (TPE)","Numéro de site (TPE)"
"Sort order","Ordre de tri"
"Specify the URL of the primary backup payment server if different from default","Spécifiez l'URL du serveur de paiement de secours s'il est différent de celui par défaut."
"Specify the URL of the primary payment server if different from default","Spécifiez l'URL du serveur de paiement principal s'il est différent de celui par défaut."
"Specify the URL of the second backup payment server if different from default","Spécifiez l'URL du second serveur de paiement de secours s'il est différent de celui par défaut."
"Specify the URL of the third backup payment server if different from default","Spécifiez l'URL du troisième serveur de paiement de secours s'il est différent de celui par défaut."
"TCP Port","Port TCP"
"TCP Port used to check the availability of a payment server if Ping Flag enabled (Default port is 443)","Port TCP utilisé pour vérifier la disponibilité du serveur de paiement si l'indicateur de ping est activé (le port par défaut est 443)."
"TERMINEO","TERMINEO"
"Text on the Intermediary Page","Texte sur la page intermédiaire"
"The URL of the Backup Payment Server","URL du serveur de paiement de secours"
"The URL of the Primary Backup Payment Server","URL du serveur primaire de paiement de secours"
"The URL of the Primary Payment Server","URL du serveur principal de paiement"
"The URL of the Second Backup Payment Server","URL du second serveur de paiement de secours"
"The URL of the Third Backup Payment Server","URL du troisième serveur de paiement de secours"
"The customer has returned from Paybox.","Le client est revenu de Paybox."
"The customer was redirected to Paybox","Le client a été redirigé vers Paybox"
"The customer was redirected to Paybox using 'command line' mode.","Le client a été redirigé vers Paybox par le mode 'ligne de commande'."
"The customer was refused by Paybox.","Le client a été refusé par Paybox."
"The customer was rejected by Paybox.","Le client a été rejeté par Paybox."
"The invoice has been created.","La facture a été créée."
"The order was canceled by the customer.","La commande a été annulée par le client."
"There are no orders.","Il n'y a pas de commande."
"There has been an error processing your payment.","Erreur lors du traitement de votre paiement."
"There has been an error processing your payment. Please try later or contact us for help.","Une erreur est survenue lors du traitement de votre paiement. Veuillez réessayer plus tard ou nous contacter pour obtenir de l'aide."
"Time-out (in seconds) to check the avalaibility of the primary backup payment server (Default 10 seconds)","Timeout (en secondes) pour la vérification de disponibilité du serveur principal de paiement de secours (10 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the primary payment server (Default 8 seconds)","Timeout (en secondes) pour la vérification de disponibilité du serveur principal de paiement (8 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the second backup payment server (Default 20 seconds)","Timeout (en secondes) pour la vérification de disponibilité du second serveur de paiement de secours (20 secondes par défaut)."
"Time-out (in seconds) to check the avalaibility of the third backup payment server (Default 20 seconds)","Timeout (en secondes) pour la vérification de disponibilité du troisième serveur de paiement de secours (20 secondes par défaut)."
"Timeout for Checking","Timeout de vérification"
"Title","Titre"
"VISA","VISA"
"What is this?","Aide ?"
"You will be redirected to Paybox in a few seconds.","Vous serez redirigé vers Paybox dans quelques secondes."
"You will be redirected to Paybox website when you place an order.","Vous serez redirigé vers le site de Paybox à l'issue de votre commande."
"Warning: the module Mage_Paybox must be uninstalled.","Attention : le module Mage_Paybox doit être désinstaller."
"Payment from applicable countries","Mode de paiement autorisé pour"
"Payment from Specific countries","Mode de paiement autorisé pour les pays spécifiques"
"Paybox CGI file","Fichier CGI Paybox"
"Site number (TPE)","Numéro du site (TPE)"
"Rank number","Numéro de rang"
"PAYBOX identifier","Identifiant PAYBOX"
"Language of the payment page","Langue de la page de paiement"
"The URL of the primary payment server","URL du serveur de paiement principal"
"Timeout for checking","Timeout"
"Backup payment server","Serveur de paiement de secours"
"Order status when payment accepted by Paybox", "Statut des commandes dont le paiement est accepté par Paybox"
"Order status when payment refused by Paybox", "Statut des commandes dont le paiement est refusé par Paybox"
"New order status","Statut de commande"
"Mode of retrieval of information","Mode de récupération de l'information"
"Add a backup payment server and its timeout","Ajouter un serveur de paiement de secours et son timeout"
"Order status when payment canceled by customer","Statut des commandes dont le paiement a été annulé par le client"
"Create invoice when payment accepted","Créer une facture quand le paiement est accepté"
"The payment was canceled.","Le paiement a été annulé."
"Error occured","Une erreur est survenue"
"Order was canceled by Paybox","La commande a été annulée par Paybox"
"Please <a href=""%s"">continue shopping</a>.","<a href=""%s"">Continuer vos achats</a>."
"Empty cart when payment refused by Paybox or canceled by customer","Vider le panier quand le paiement est refusé par Paybox ou annulé par le client"
"The URL of the backup payment server","URL du serveur de backup"
"Intermediate Page","Page intermédiaire"
"This configuration is only available if you selected the HTML Form Mode","Cette configuration est uniquement disponible lorsque vous utilisez le mode formulaire HTML"
"Management mode of the intermediate page","Mode de gestion de la page intermédiaire"
"Text on the intermediate page","Texte sur la page intermédiaire"
"Name of the button on the intermediate page","Text du bouton de la page intermédiaire"
"Screen background of the intermediate page","Arrière plan de la page intermédiaire"
"Background color of the intermediate page","Couleur d'arrière plan de la page intermédiaire"
"Only if you don't use a screen background","Seulement si vous n'utilisez pas d'image d'arrière plan"
"Delay in displaying the intermediate page","Délai d'affichage de la page intermédiaire"
"in millisecond","en milliseconde"
"Customer successfully returned from Paybox","Le client est revenu de Paybox avec succès"
"Payment accepted by Paybox", "Le paiement a été accepté par Paybox"
